income_regularity,avg_monthly_income,income_growth_trend,avg_monthly_spend,discretionary_spending_ratio,savings_rate,rent_ratio,emi_ratio,commitment_fulfillment_rate,missed_commitments_count,spending_volatility,net_cashflow_stability,target
0.9061810178271044,64440.5994097654,0.08158425631014783,48536.76540928119,0.10617534828874074,0.24679835610086082,0.24699098521619944,0.2497327922401265,0.95290418060841,0,0.11594510923446917,1.6659288911717478,2
0.8818508666017414,73837.17364576455,0.011734395106844042,55042.106413569796,0.1873687420594126,0.2545474901621302,0.21118528947223794,0.04184815819561255,0.9591702254926716,0,0.11209811357830171,1.6554484443559743,2
0.3876433945605654,16483.28099146296,-0.07754967887111515,16190.26769070179,0.41951547789558385,0.01777639420895205,0.24488855372533333,0.2896896099223678,0.5599021346475079,2,0.17207586878475206,0.8084336129115264,0
0.9712596022174692,71878.49009172837,0.08704556369017877,50934.238736583044,0.2485530730333811,0.2913841307520112,0.15343885211152183,0.2727961206236346,0.9548836057003192,0,0.06991466938853017,1.8002774081213446,2
0.8888169972400025,63674.40443038679,0.0647693315999082,41005.01709077337,0.12654775061557585,0.35602040635334326,0.16959828624191453,0.01356818667316142,0.977335513967164,0,0.15459961321788357,1.6162767506964393,2
0.8987995496144896,70856.84140594985,0.07114244452437832,48423.33960267326,0.2628088249474746,0.31660318690684464,0.16409242249747627,0.2406590942262119,0.9635674515886947,0,0.07696806145201063,1.7292685529525065,2
0.8611825965519656,72910.6139735652,0.03321564953554723,42382.78311495264,0.35893102776267805,0.4187021504122962,0.2123298126827558,0.09926940745579475,0.9885635173342973,0,0.14438742297966786,1.6163635467698836,2
0.31906750508580706,18453.938120743926,0.04781200142854114,19438.5046545804,0.6282355145850692,-0.05335265174265067,0.20612771975694963,0.2312901539863683,0.5975549966080241,3,0.7625051644788396,0.5200679806035462,0
0.9240693394546586,56901.27447955128,0.021624990828171944,45087.10537127214,0.25257120734941085,0.20762573802322856,0.2407566473926093,0.07478766874466249,0.9553945713496652,0,0.1410951252187612,1.6470703180368147,2
0.4231148769106889,25212.458086697105,-0.041343439701986145,24876.30868343588,0.6677676995469932,0.013332670781457306,0.20393422419156507,0.24223204654921876,0.5686394496474867,6,0.5575677156576747,0.6367327189620213,0
